track,speed_setting,method,mean_pos_err,median_pos_err,std_pos_err,max_pos_err,rmse_pos_err,mean_yaw_err_deg,median_yaw_err_deg,std_yaw_err_deg,max_yaw_err_deg,rmse_yaw_err_deg
map2_slamversion,8.0,odom,,,,,,,,,,
map2_slamversion,8.0,slam,,,,,,,,,,
tavler1,5.0,amcl,0.1033,0.0965,0.0571,0.2946,0.118,2.0242,1.6005,1.6203,8.1831,2.5927
tavler1,5.0,conv,0.1472,0.1561,0.0598,0.3343,0.1589,3.0803,2.2071,2.697,14.1826,4.0921
tavler1,5.0,odom,0.1464,0.1551,0.0602,0.3376,0.1583,3.2538,2.6184,2.5683,14.3757,4.1435
tavler1,5.0,slam,0.2501,0.2477,0.1317,0.5506,0.2827,3.7925,2.7573,3.4891,20.0992,5.1531
tavler1,6.0,amcl,0.1084,0.0994,0.058,0.3357,0.1229,2.0148,1.462,1.7855,9.5943,2.6919
tavler1,6.0,conv,0.1827,0.1898,0.0635,0.3477,0.1934,4.6849,3.6525,3.7351,17.7375,5.9885
tavler1,6.0,odom,0.1769,0.1861,0.0638,0.3637,0.188,4.1818,2.9761,3.7976,16.7137,5.6454
tavler1,6.0,slam,0.3455,0.3463,0.1591,0.6754,0.3804,5.2641,3.655,4.9925,30.485,7.2546
tavler1,7.0,amcl,0.1088,0.0992,0.0607,0.3495,0.1246,2.3283,1.7354,1.9309,10.2731,3.0246
tavler1,7.0,conv,0.2044,0.207,0.0727,0.4514,0.2169,5.9645,4.2203,5.0062,21.9161,7.7823
tavler1,7.0,odom,0.2088,0.2081,0.0663,0.4005,0.219,5.9297,4.6611,4.9754,20.1034,7.7357
tavler1,7.0,slam,0.3805,0.3815,0.182,0.7661,0.4218,6.5483,4.3577,6.3695,37.9784,9.1344
tavler1,8.0,amcl,0.1292,0.1215,0.0688,0.3509,0.1464,2.7772,2.1689,2.3081,11.7544,3.6109
tavler1,8.0,conv,0.2001,0.191,0.1066,0.6479,0.2265,6.8485,2.1974,16.9881,148.9786,18.2442
tavler1,8.0,odom,0.2172,0.2238,0.1413,1.1618,0.2587,9.6884,3.7788,22.7782,147.9066,24.6425
tavler1,8.0,slam,0.3864,0.3871,0.197,0.8209,0.4337,7.4451,4.5423,7.9794,50.1923,10.9124
